sl,timestamp,lat,lon,speedOverGround,altitude,rsrp,rssi,sinr,throughput_c2,throughput_video
1,130454,49.22255667,11.23942667,0,446,-102,-73,139,1,27.25
2,130456,49.22255667,11.23942667,0,446,-101,-73,141,1,27.6
3,130458,49.22255667,11.23942667,0,446,-101,-72,140,1,27
4,130500,49.22255667,11.23942667,0,446,-101,-72,136,1,26.95
5,130502,49.22255667,11.23942667,0,446,-101,-72,146,1,26.4
6,130504,49.22255667,11.23942667,0,446,-99,-70,157,1,27.05
7,130506,49.22255667,11.23942667,0,446,-101,-72,144,1,26.2
8,130508,49.22255667,11.23942667,0,446,-100,-72,147,1,26.65
9,130510,49.22255667,11.23942667,0,446,-92,-63,190,1,27.05
10,130512,49.22255667,11.23942667,0,446,-89,-61,200,1,26.95
11,130514,49.22255667,11.23942667,0,446,-101,-72,148,1,27
12,130517,49.22255333,11.23942667,0.7,445,-111,-80,84,1,22.202905
13,130519,49.22254333,11.23942167,2.1,446,-121,-82,49,1,27.25
14,130521,49.22253667,11.23941333,0,447,-121,-82,57,1,26.55
15,130523,49.22253333,11.23940667,0,447,-121,-83,49,1,25.7
16,130525,49.22253,11.23940333,0,446,-121,-82,55,1,26.8
17,130527,49.22252667,11.2394,0,447,0,0,0,1,24.7
18,130529,49.222525,11.23939833,0,447,0,0,0,1,25.75
19,130531,49.22252667,11.239395,0,447,0,0,0,1,25.2
20,130533,49.22252667,11.239395,0,447,-118,-83,78,1,26.5
21,130535,49.22252667,11.239395,0,446,-117,-81,63,1,25.6
22,130537,49.22252833,11.239395,0,446,-120,-82,49,1,16.0021
23,130539,49.22252833,11.239395,0,446,-119,-83,64,1,27.9
24,130541,49.22252833,11.239395,0,446,-119,-81,61,1,25.55
25,130543,49.22252833,11.239395,0,446,-120,-83,62,1,27.15
26,130545,49.22252833,11.239395,0,446,-123,-83,52,1,31.95
27,130547,49.22252833,11.239395,0,446,-120,-82,61,1,28.65
28,130549,49.22252833,11.239395,0,446,-119,-82,72,1,27.25
29,130551,49.22252667,11.239395,0,446,-120,-82,68,1,29.4
30,130553,49.22252667,11.239395,0,446,-119,-85,59,1,30.85
31,130555,49.22252667,11.239395,0,446,-121,-84,48,1,34.2
32,130557,49.22252833,11.239395,0,446,-121,-84,51,1,37.05
33,130559,49.22252833,11.239395,0,446,0,0,0,1,32.55
34,130601,49.22252833,11.23939333,0,446,0,0,0,1,31.25
35,130603,49.22252833,11.23939333,0,446,0,0,0,1,32.25
36,130605,49.22252833,11.23939333,0,446,0,0,0,1,36
37,130607,49.22252833,11.23939333,0,446,0,0,0,1,40.55
38,130609,49.22252833,11.23939333,0,446,0,0,0,1,28.8
39,130611,49.22252833,11.23939333,0,446,0,0,0,1,27.15
40,130613,49.22252833,11.23939333,0,446,0,0,0,1,22.05
41,130615,49.22252167,11.239385,0,445,0,0,0,1,17.25
42,130617,49.22252,11.23937833,0,445,caInfo Error ,,,1,6.454885
43,130619,49.22251833,11.23937333,0,444,caInfo Error ,,,1,8.655
44,130621,49.22251667,11.23937167,0,444,caInfo Error ,,,1,1.92
45,130623,49.222515,11.23937333,0,444,caInfo Error ,,,1,2.81
46,130625,49.22251333,11.23937,0,443,caInfo Error ,,,1,5.605
47,130627,49.22251167,11.23937,0,443,caInfo Error ,,,1,5.195
48,130629,49.22251167,11.23936833,0,444,caInfo Error ,,,0.0002025,3.26
49,130631,49.22251167,11.23936833,0,443,caInfo Error ,,,0.0002255,2.575
50,130633,49.22251167,11.23936833,0,444,caInfo Error ,,,0,2.185
51,130635,49.22251167,11.23936833,0,444,caInfo Error ,,,0,0.6255
52,130637,49.22251167,11.23936833,0,444,caInfo Error ,,,0.000338,1.288
53,130639,49.22251167,11.23936833,0,444,caInfo Error ,,,0.0003155,1.75
54,130641,49.22251167,11.23936833,0,444,caInfo Error ,,,0.000203,2.1545
55,130643,49.22251167,11.23936833,0,444,caInfo Error ,,,0,24.3
56,130645,49.22251167,11.23936833,0,444,caInfo Error ,,,0,34.95
57,130647,49.22251167,11.23936833,0,444,caInfo Error ,,,0,28.4
58,130649,49.22251167,11.23936833,0,444,caInfo Error ,,,0,48.55
59,130651,49.22251167,11.23936833,0,444,caInfo Error ,,,0,48.75
60,130653,49.22251167,11.23936833,0,444,caInfo Error ,,,0.5001015,52.35
61,130655,49.22251167,11.23936833,0,444,caInfo Error ,,,1,53.2
62,130657,49.22251167,11.23936833,0,444,caInfo Error ,,,1,25.803165
63,130659,49.22251167,11.23936833,0,444,caInfo Error ,,,1,54
64,130701,49.22251167,11.23936833,0,444,caInfo Error ,,,1,44.35
