,time,rssi,rsrp,rsrq,snr,lat,lon,altitude,height,throughput_DL
0,2020.08.05_13.58.49,-63,-70,-8,29.2,49.25907298,11.21596134,400.1068,0,20.753
1,2020.08.05_13.58.50,-63,-70,-8,29.2,49.259073,11.21596126,400.115,0,20.417
2,2020.08.05_13.58.52,-63,-70,-8,29.2,49.25907308,11.21596126,400.1378,0,20.181
3,2020.08.05_13.58.53,-63,-72,-8,29.2,49.25907296,11.21596138,400.1422,0,19.659
4,2020.08.05_13.58.54,-63,-72,-8,29.2,49.25907294,11.2159615,400.1382,0,20.61
5,2020.08.05_13.58.55,-63,-78,-8,29.2,49.2590729,11.21596158,400.1292,0,20.114
6,2020.08.05_13.58.56,-63,-78,-8,29.2,49.25907296,11.2159615,400.1334,0,20.072
7,2020.08.05_13.58.57,-63,-72,-8,29.2,49.25907294,11.21596146,400.1352,0,20.551
8,2020.08.05_13.58.58,-63,-72,-8,29.2,49.25907318,11.21596136,400.1388,0,20.501
9,2020.08.05_13.58.59,-63,-69,-8,29.2,49.25907324,11.21596128,400.149,0,20.484
10,2020.08.05_13.59.00,-63,-69,-8,29.2,49.2590732,11.2159613,400.1458,0,20.661
11,2020.08.05_13.59.02,-63,-69,-8,29.2,49.2590733,11.21596122,400.1452,0,20.064
12,2020.08.05_13.59.03,-63,-69,-8,29.2,49.2590733,11.21596128,400.1408,0,20.602
13,2020.08.05_13.59.04,-63,-69,-8,29.2,49.2590733,11.21596126,400.146,0,20.316
14,2020.08.05_13.59.05,-63,-69,-8,29.2,49.2590733,11.2159612,400.1504,0,20.265
15,2020.08.05_13.59.06,-63,-70,-8,29.2,49.2590733,11.2159612,400.1566,0,20.375
16,2020.08.05_13.59.07,-63,-70,-8,29.2,49.25907338,11.21596118,400.1626,0,20.375
17,2020.08.05_13.59.08,-63,-70,-8,29.2,49.2590734,11.2159611,400.1628,0,20.333
18,2020.08.05_13.59.09,-63,-70,-8,29.2,49.2590734,11.21596118,400.1568,0,20.181
19,2020.08.05_13.59.10,-63,-70,-8,29.2,49.2590734,11.21596126,400.147,0,20.307
20,2020.08.05_13.59.12,-63,-70,-8,29.2,49.2590735,11.21596138,400.1334,0,20.097
21,2020.08.05_13.59.13,-63,-70,-8,29.2,49.2590735,11.2159614,400.1376,0,20.215
22,2020.08.05_13.59.14,-63,-70,-8,29.2,49.2590735,11.2159614,400.1396,0,20.753
23,2020.08.05_13.59.15,-63,-70,-8,29.2,49.2590735,11.2159614,400.137,0,20.274
24,2020.08.05_13.59.16,-63,-70,-8,29.2,49.2590735,11.2159614,400.1358,0,20.265
25,2020.08.05_13.59.17,-63,-70,-8,29.2,49.25907348,11.2159614,400.1434,0,20.694
26,2020.08.05_13.59.18,-63,-70,-8,29.2,49.2590734,11.2159614,400.1452,0,20.577
27,2020.08.05_13.59.19,-63,-70,-8,29.2,49.2590734,11.2159614,400.1476,0,20.518
28,2020.08.05_13.59.20,-63,-70,-8,29.2,49.2590734,11.2159614,400.1522,0,20.905
29,2020.08.05_13.59.22,-63,-71,-8,29.2,49.2590734,11.2159614,400.1462,0,20.787
